frame_index,timestamp_sec,rhino_id,min_person_distance_px,distance_to_road_px,risk_level
291,9.7,4,369.73774489494576,184.5,LOW
292,9.73,1,,175.5,LOW
292,9.73,2,,117.5,MEDIUM
292,9.73,3,,139.0,LOW
292,9.73,4,,183.5,LOW
293,9.77,1,,174.5,LOW
293,9.77,2,,117.5,MEDIUM
293,9.77,3,,139.0,LOW
293,9.77,4,,183.5,LOW
294,9.8,1,,172.5,LOW
294,9.8,2,,117.5,MEDIUM
294,9.8,3,,139.0,LOW
294,9.8,4,,182.5,LOW
295,9.83,1,,171.5,LOW
295,9.83,2,,117.5,MEDIUM
295,9.83,3,,138.0,LOW
295,9.83,4,,182.5,LOW
296,9.87,1,,170.5,LOW
296,9.87,2,,116.5,MEDIUM
296,9.87,3,,138.0,LOW
296,9.87,4,,182.5,LOW
297,9.9,1,,168.5,LOW
297,9.9,2,,116.5,MEDIUM
297,9.9,3,,138.0,LOW
297,9.9,4,,181.5,LOW
298,9.93,1,,166.5,LOW
298,9.93,2,,115.5,MEDIUM
298,9.93,3,,138.0,LOW
298,9.93,4,,181.5,LOW
299,9.97,1,,165.5,LOW
299,9.97,2,,113.5,MEDIUM
299,9.97,3,,138.0,LOW
299,9.97,4,,180.5,LOW
